NA_ANIMAL,NA_ID,Loc,Sohlenbrei,NAT1,REST1,STAU1,Breaks_Dis
Alena,130281,0,6,1,0,0,199.1555
Alena,130281,0,6,1,0,0,226.1309
Alena,130281,0,7,0,1,0,401.0886
Alena,130281,0,7,0,1,0,401.8128
Alena,130281,0,7,1,0,0,434.919
Alena,130281,0,6,1,0,0,655.7868
Alena,130281,0,7,1,0,0,70.6696
Alena,130282,0,6,1,0,0,107.5363
Alena,130282,0,7,1,0,0,1238.9971
Alena,130282,0,6,1,0,0,167.2252
Alena,130282,0,7,1,0,0,315.0558
Alena,130282,0,6,1,0,0,315.9547
Alena,130282,0,7,1,0,0,381.9936
Alena,130282,0,6,1,0,0,435.6884
Alena,130282,0,6,1,0,0,458.3701
Alena,130282,0,7,1,0,0,725.5692
Alena,130283,0,6,1,0,0,127.5208
Alena,130283,0,6,1,0,0,147.484
Alena,130283,0,6,1,0,0,165.1981
Alena,130283,0,6,1,0,0,353.6593
Alena,130283,0,7,1,0,0,513.535
Alena,130283,0,7,1,0,0,520.2749
Alena,130283,0,6,1,0,0,64.2092
Alena,130283,0,6,1,0,0,64.4114
Alena,130283,0,6,1,0,0,88.1875
Alena,130284,0,6,1,0,0,10.2484
Alena,130284,0,6,1,0,0,140.4226
Alena,130284,0,6,1,0,0,233.5955
Alena,130284,0,6,1,0,0,287.666
Alena,130284,0,4,1,0,0,516.2009
Alena,130284,0,4,1,0,0,595.9653
Alena,130284,0,3,1,0,0,655.7326
Alena,130284,0,6,1,0,0,745.5492
Alena,130284,0,3,1,0,0,747.1031
Alena,130310,0,4,1,0,0,112.9589
Alena,130310,0,4,1,0,0,16.5348
Alena,130310,0,3,1,0,0,260.7485
Alena,130310,0,4,1,0,0,347.0196
Alena,130310,0,6,1,0,0,521.004
Alena,130310,0,6,1,0,0,601.9763
Alena,130310,0,6,1,0,0,633.82
Alena,130310,0,6,1,0,0,700.284
Alena,130310,0,6,1,0,0,733.0549
Alena,130311,0,4,1,0,0,109.6415
Alena,130311,0,3,1,0,0,128.089
Alena,130311,0,3,1,0,0,192.8945
Alena,130311,0,4,1,0,0,2.3876
Alena,130311,0,3,1,0,0,274.6103
Alena,130311,0,4,1,0,0,29.2197
Alena,130311,0,4,1,0,0,61.8505
Alena,130311,0,4,1,0,0,7.6653
Alena,130311,0,4,0,1,0,911.044
Alena,130312,0,4,1,0,0,122.4718
Alena,130312,0,4,1,0,0,151.8429
Alena,130312,0,5,1,0,0,2.0467
Alena,130312,0,5,1,0,0,246.0423
Alena,130312,0,5,1,0,0,393.1445
Alena,130312,0,4,1,0,0,419.2654
Alena,130312,0,5,1,0,0,42.9137
Alena,130312,0,4,0,1,0,553.0328
Alena,130312,0,4,0,1,0,557.776
Alena,130313,0,3,1,0,0,132.7882
Alena,130313,0,4,1,0,0,375.0243
Alena,130313,0,5,1,0,0,39.8745
Alena,130313,0,5,1,0,0,4.8146
Alena,130313,0,4,1,0,0,44.4158
Alena,130313,0,4,1,0,0,47.4939
Alena,130313,0,4,1,0,0,47.7095
Alena,130313,0,4,1,0,0,828.8597
Alena,130313,0,4,1,0,0,99.5202
Alena,130314,0,4,1,0,0,1110.7532
Alena,130314,0,4,1,0,0,127.4915
